prodi_id,nama_prodi,jenjang
430,Pendidikan Luar Biasa,S1
431,Teknik Informatika,D3
432,Kimia Industri,D3
433,Analis Kimia,D3
434,Kepelatihan Olahraga,S1
435,Seni Drama Tari Dan Musik,S1
436,Agrobisnis,D3
437,Teknologi Hasil Perikanan,D3
438,Perpajakan,D3
439,Pendidikan Olahraga Dan Kesehatan,S1
440,Administrasi Keuangan,D3
441,Usaha Perjalanan Wisata,D3
442,ILMU KEPERAWATAN,S1
443,Teknik Konstruksi Perkapalan,S1
444,Ilmu Pertanian,S1
445,Teknik Metalurgi,S1
446,Biologi,D3
447,Agribisnis,D3
448,Budi Daya Ternak,D3
449,Perencanaan Sumber Daya Lahan,D3
450,Bahasa Mandarin,D3
451,Bisnis Internasional,D3
452,Pendidikan Olah Raga,S1
453,Manajemen Kepelabuhan Dan Pelayaran,S1
454,Ilmu Informatika,S1
455,Hospitality,S1
456,Ilmu Pendidikan Teologi,S1
457,Pendidikan Keagamaan Katolik,S1
458,Sistem Informasi,D3
459,Admnistrasi Perkantoran,D3
460,Pendidikan Bahasa Indonesia (kampus Kota Madiun),S1
461,Bahasa Inggris (Kampus Kota Madiun),S1
462,Psikologi (Kampus Kota Madiun),S1
463,Biologi (Kampus Kota Madiun),S1
464,Akuntansi (Kampus Kota Madiun),S1
465,Pendidikan Musik,S1
466,Agribinis,S1
467,Teknik Perencanaan Wilayah Dan Kota,S1
468,Desain Grafis,D3
469,Teologi Agama Kristen,S1
470,Mekanisasi Pertanian,S1
471,Teologi,S1
472,Filsafat Keilahian,S1
473,Musik Gereja,S1
474,Teologi Kristen Protestan,S1
475,Seni Rupa Dan Disain,D3
476,Ilmu Teologi,S1
477,Pendidikan Teknik Informatika & Komputer,S1
478,Hubungan Masyarakat,S1
479,Perpustakaan,S1
480,Sistem Informasi Akuntansi,D3
481,ANALIS FARMASI DAN MAKANAN,D3
482,Pendidikan Ilmu Komputer,S1
483,Pendidikan Sosiologi,S1
484,Perikanan Tangkap,S1
485,Teknik Survey Dan Pemetaan,D3
486,Pendidikan Bahasa Perancis,S1
487,Sumberdaya Akuatik,S1
488,Perkebunan,D3
489,Pendidikan Tari,S1
490,Nutrisi Dan Teknologi Pakan Ternak,S1
491,Biologi Terapan,S1
492,Kepolisian,D3
493,Pendidikan Bahasa Mandarin,S1
494,Desain Komunikasi Visual -,S1
495,Teknik Sipil K. Mataram,S1
496,Hukum K. Mataram,S1
497,Manajemen K. Mataram,S1
498,Pariwisata K. Kab. Lombok Utara,D3
499,Kesehatan Hewan K. Bima,D3
500,Budidaya Perikanan Kab Lombok Utara,D3
501,Agribisnis Peternakan,D3
502,Perbankan Dan Keuangan,D3
503,Perjalanan Wisata,D3
504,Pendidikan Anak Usia Dini,S1
505,Ilmu Quran Dan Tafsir,S1
506,Budidaya Perikanan,S1
507,Pendidikan Islam,S1
508,Pendidikan Seni Rupa,S1
509,Teknologi Elektronika,D3
510,Pendidikan Bahasa,S1
511,Hukum Ekonomi Syari'ah,S1
512,PGRA,S1
513,Manajemen K. Sintang,S1
514,ILMU KESEHATAN MASYARAKAT,S1
515,TEKNIK KARDIOVASKULER,D3
516,Hukum Ekonomi Syari'ah (Mu'amalah),S1
517,Pendidikan Bahasa Dan Sastra Jawa,S1
518,Pendidikan Informatika,S1
519,Pendidikan Vokasional Teknik Elektronika,S1
520,Pengolahan Hasil Perikanan,S1
521,Pendidikan Jasmani Kesehatan Dan Rekreasi,S1
522,PGSD,S1
523,ADMINISTRASI RUMAH SAKIT,D3
524,Pendidikan Guru Madrasah Ibtidiyah,S1
525,Perbandingan Agama,S1
526,Pendidikan Seni Drama Tari Dan Musik,S1
527,Teknologi Mesin,D3
528,Teknologi Elektro-medis,D3
529,Etnomusikologi,S1
